time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_pH,SIL_rsi,CAR_ch4,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP
2015-09-11,0.57372,21.48375,0,262.2059,0.2966,0.0756,0.0501,9.863658,314.9736,18.4195,0.9284,8.3554,1.8568,0.015,0.1348,0.3495,70.3134,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-12,0.5978,20.27145,0,266.4685,0.6776,0.4214,0.019200000000000002,17.0610615,544.8075,31.8601,0.4044,3.6393,0.8087,0.0395,0.3555,0.9217,66.7187,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-13,0.41846,15.49365,0,284.5372,0.671,0.5215,0,10.2322395,326.7433,19.1078,1.0111,9.0996,2.0221,0.019,0.171,0.4435,34.4543,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-14,0.29288,13.86765,0,291.1924,0.3853,0.16310000000000002,0.06765,13.006791000000002,415.343,24.2891,1.3762,12.3858,2.7524,0.0257,0.2313,0.5997,85.4871,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-15,0.20509999999999998,15.33,0,285.1945,1.4541,0.71995,0.0363,2.627919,83.9171,4.9074,0.732,6.5884,1.4641,0.04,0.3597,0.9326,61.3437,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-16,0.1435,16.18035,0,281.8074,0.4947,0.47950000000000004,0.09659999999999999,10.6135785,338.9205,19.8199,0.3423,3.0805,0.6846,0.0214,0.193,0.5003,56.6444,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-17,0.10052,16.5009,0,280.54880000000003,1.1694,0.11585,0.08085,4.53348,144.7663,8.4659,0.5885,5.2967,1.1771,0.0013,0.0114,0.0296,54.864,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-18,0.07028,17.05845,0,278.3842,0.4475,0.2289,0.04725,10.725560999999999,342.4974,20.0291,1.0838,9.7542,2.1676,0.0318,0.2861,0.7418,43.4496,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-19,0.04928,17.57745,0,276.3955,0.7181,0.30974999999999997,0.13935,4.0627755,129.7362,7.5869,0.9036,8.1328,1.8073,0.06,0.5398,1.3994,14.5822,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-20,0.03444,18.6684,0,272.2972,0.7539,0.0021,0.07245,1.0311525,32.9274,1.9256,1.2764,11.4875,2.5528,-0.0015,-0.0131,-0.0338,49.003,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-21,10.7646,15.9465,0,282.7313,0.685,0.38639999999999997,0.1629,10.468206,334.279,19.5485,1.066,9.5942,2.1321,-0.0026,-0.0231,-0.0599,70.3996,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-22,12.49654,17.00955,0,278.5729,0.6043,0.56385,0.1626,10.681177499999999,341.0801,19.9462,1.2198,10.9782,2.4396,-0.0033,-0.0293,-0.0759,75.4792,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
